open,high,low,close,volume,domestic_series,federal_financing_bank,foreign_series,government_account_series,government_account_series_inflation_securities,special_purpose_vehicle,state_and_local_government_series,total_interest-bearing_debt,total_marketable,total_non-marketable,treasury_bills,treasury_bonds,treasury_floating_rate_notes_(frn),treasury_inflation-protected_securities_(tips),treasury_notes,united_states_savings_inflation_securities,united_states_savings_securities,weighted_sentiment,price_direction
-1.4066658370968255,-1.4166468689188962,-1.401290211314679,-1.4059343911575675,1.1992805298456122,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-0.7706064399807829,Up
-1.4031612202076573,-1.4151292084193519,-1.3990249653797258,-1.4122644001906441,0.20050326448531783,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-2.5317945899360597,Down
-1.4094559025656062,-1.4138717010052384,-1.3984230643099091,-1.4054987386782807,0.5195427502095759,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,0.5616094444214668,Up
-1.4027115561909616,-1.4070774704252564,-1.3989737663260693,-1.409884429775259,2.3650225913044567,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-0.07877041158695262,Down
-1.4070961640261135,-1.4165530928067058,-1.397761847263295,-1.4061081609273183,1.5978141252987046,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-0.9074129132966403,Up
-1.4033168377206025,-1.4156797649489852,-1.4047711225846253,-1.4137543378100796,1.1482094879912217,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,0.26404656182289354,Down
-1.4109724827065573,-1.410828514912869,-1.4029454392566751,-1.4019033009158228,1.2476736802143436,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-1.4574575350086303,Up
-1.3991163926226637,-1.4092545887460104,-1.3928714010710344,-1.4048328259033878,0.964426269402815,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,1.1527870612622437,Down
-1.4020488772748891,-1.4130352785852185,-1.391849605323363,-1.404909272321529,-0.4887110277335661,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,-0.47823856455324965,Down
-1.4021222354318794,-1.4116957926988356,-1.3924811643815784,-1.4062260541986686,-0.25735045164610787,0.005288539196585142,1.017021976102669,2.8167827924392936,-3.129045160524792,-2.0370482785128763,-0.9733632258484889,-2.348134557079369,-2.581905013663177,-2.4862401183787037,-3.1091518194387424,-2.5602784365111,-1.334480222811548,-1.5863019790364417,-1.6263343574656464,-1.6929345419213735,2.6277382812892656,-2.806189618316312,0.19535176839361387,Down
